song_id,bpm,energy,danceability,db,liveness,valence,length,acousticness,speechiness,popularity
0,157,30,53,-14,11,68,201,94,3,71
1,135,79,50,-11,17,81,207,17,7,39
2,168,69,66,-9,7,52,341,2,17,69
3,173,96,43,-4,3,37,269,0,4,76
4,106,82,58,-5,10,87,256,1,3,59
5,99,46,54,-9,14,14,247,0,2,45
6,102,71,71,-6,13,54,257,6,3,74
7,137,96,37,-5,12,21,366,0,14,69
8,148,92,36,-4,10,23,223,0,8,77
9,112,67,91,-3,24,66,290,0,7,82
10,109,5,44,-16,11,31,162,88,4,49
11,124,46,74,-8,26,32,232,1,8,74
12,102,88,54,-6,53,59,214,2,3,34
13,117,93,38,-2,81,40,639,18,10,26
14,112,81,65,-5,14,82,173,0,3,66
15,133,42,42,-10,16,25,236,84,4,48
16,123,90,52,-7,7,36,288,0,6,69
17,127,54,38,-5,9,19,276,2,3,57
18,87,31,27,-13,63,12,352,1,3,46
19,74,65,62,-7,10,56,288,57,18,74
20,138,42,21,-9,11,12,296,16,3,81
21,142,51,60,-10,11,35,218,5,4,67
22,96,89,63,-6,9,81,176,5,3,55
23,138,99,51,-3,12,65,197,0,9,69
24,112,74,65,-7,23,52,261,18,3,16
25,130,48,55,-8,10,18,270,48,3,50
26,123,68,53,-4,12,55,298,0,4,56
27,148,76,91,-5,8,87,298,7,17,71
28,142,24,34,-11,12,19,259,92,4,48
29,154,70,68,-10,33,51,306,8,3,59
30,146,44,56,-7,11,21,310,73,2,84
31,181,59,56,-9,20,68,306,32,3,57
32,80,47,62,-6,11,33,211,31,3,63
33,88,20,73,-12,7,62,186,88,3,74
34,122,87,64,-3,29,45,185,49,12,72
35,119,53,68,-12,8,68,264,34,4,44
36,156,79,29,-6,8,51,290,0,4,75
37,152,81,32,-7,15,12,202,8,5,40
38,168,60,58,-6,48,65,263,0,5,72
39,72,21,46,-11,11,26,266,91,3,42
40,118,82,67,-9,5,78,629,3,8,59
41,138,64,71,-10,19,10,177,0,9,53
42,105,68,28,-9,14,49,237,0,4,74
43,186,99,38,-2,37,77,176,0,6,78
44,100,85,58,-5,9,58,197,11,3,65
45,168,57,38,-5,35,26,278,4,3,56
46,115,46,83,-10,70,88,331,48,6,43
47,75,64,37,-6,17,20,355,0,3,65
48,131,72,64,-7,14,80,213,1,4,67
49,76,77,46,-5,14,35,234,1,3,51
50,108,35,47,-11,8,28,216,72,3,69
51,194,43,35,-11,10,26,275,16,3,52
52,90,26,43,-13,9,27,259,95,5,69
53,122,77,30,-3,12,9,467,0,3,52
54,149,30,33,-7,11,14,243,78,3,67
55,92,76,52,-5,57,63,219,42,3,43
56,96,60,53,-6,11,35,305,0,2,57
57,123,59,48,-5,18,20,218,27,5,44
58,99,70,69,-6,16,48,214,22,3,77
59,124,59,47,-8,28,18,236,42,3,38
60,132,41,62,-14,10,51,215,7,3,32
61,86,56,44,-7,25,70,144,35,3,47
62,166,75,70,-9,19,91,195,13,10,48
63,176,74,66,-7,22,91,240,66,8,70
64,99,87,55,-6,17,54,234,1,3,77
65,103,86,63,-7,7,73,357,21,5,63
66,92,69,76,-5,57,73,297,3,5,56
67,105,73,68,-8,14,94,281,11,2,59
68,136,43,28,-7,6,7,219,28,3,55
69,81,65,50,-7,33,57,273,22,4,64
70,77,18,55,-11,11,9,212,89,3,73
71,171,58,51,-5,37,67,279,3,6,65
72,183,44,56,-8,12,44,288,29,3,58
73,178,68,30,-8,43,77,249,83,25,46
74,139,48,52,-8,9,46,247,3,3,67
75,131,80,75,-5,42,37,281,24,5,55
76,101,24,42,-11,19,30,229,82,5,58
77,110,96,43,-4,17,56,186,0,4,57
78,104,92,66,-6,61,46,229,38,17,30
79,159,67,43,-6,14,38,394,9,3,45
80,160,71,50,-8,43,33,375,8,5,45
81,88,32,52,-11,9,18,226,33,2,48
82,83,25,42,-14,11,21,219,84,3,70
83,79,60,56,-7,38,44,210,18,3,58
84,105,91,46,-4,36,61,258,2,6,72
85,160,85,55,-8,32,46,283,2,4,42
86,120,76,70,-5,13,68,210,12,6,42
87,100,55,59,-12,11,64,264,47,3,43
88,115,67,72,-12,5,65,231,6,4,43
89,145,91,38,-4,24,27,266,0,9,65
90,110,35,39,-10,11,16,306,67,3,19
91,132,55,85,-5,8,81,219,15,4,74
92,128,40,40,-9,9,22,240,3,3,49
93,130,70,52,-7,13,35,268,4,4,41
94,157,93,23,-5,93,28,403,29,17,32
95,160,74,27,-5,63,42,321,5,4,75
96,106,84,70,-5,12,89,219,0,5,62
97,61,13,27,-14,33,18,232,94,4,38
98,92,90,50,-7,15,67,275,1,6,30
99,112,81,53,-4,16,21,306,0,3,39
100,105,86,56,-6,21,40,217,1,6,83
101,104,44,29,-7,8,16,207,79,3,44
102,136,80,67,-5,6,79,211,1,3,56
103,162,62,32,-6,60,36,308,3,3,40
104,160,61,36,-6,11,49,237,54,4,58
105,93,37,48,-8,12,14,216,74,3,75
106,107,79,69,-4,58,75,206,6,17,75
107,101,69,62,-7,6,56,208,28,3,47
108,103,86,70,-4,10,89,298,2,3,72
109,122,49,35,-7,21,21,273,47,3,41
110,177,76,58,-6,25,66,201,16,12,74
111,94,84,52,-4,10,46,215,0,3,54
112,122,74,64,-4,10,36,263,27,4,80
113,68,72,60,-4,35,37,242,8,3,59
114,171,74,69,-5,36,6,326,1,26,77
115,75,67,30,-5,15,68,306,3,5,59
116,109,42,35,-8,10,27,199,30,3,51
117,123,72,82,-9,36,69,225,4,14,71
118,137,72,28,-5,20,17,231,1,4,76
119,129,82,53,-7,12,34,231,7,4,64
120,193,58,43,-5,19,27,193,4,30,70
121,85,76,37,-9,58,64,302,22,5,62
122,138,44,46,-9,10,15,294,66,3,39
123,79,36,53,-7,9,40,238,53,2,70
124,120,60,85,-12,19,87,433,6,4,44
125,99,77,65,-7,7,68,236,0,23,75
126,130,94,37,-5,19,37,256,0,7,75
127,125,41,67,-8,10,50,238,84,3,68
128,136,85,58,-6,79,58,302,53,5,42
129,126,95,51,-5,30,63,324,0,6,56
130,96,64,59,-10,9,49,256,9,3,58
131,119,38,52,-9,10,13,270,76,4,36
132,165,56,48,-6,18,54,154,32,3,67
133,58,40,25,-9,9,11,245,45,4,52
134,94,77,37,-6,9,42,248,18,7,59
135,103,81,71,-4,7,73,257,1,3,74
136,120,56,41,-11,16,16,311,1,3,63
137,91,63,67,-12,10,86,245,1,5,54
138,128,37,61,-9,11,35,226,84,3,64
139,75,92,51,-5,40,31,272,1,9,60
140,128,77,74,-6,51,61,289,9,3,69
141,139,77,55,-9,13,42,253,0,3,63
142,93,77,52,-11,6,93,181,14,6,42
143,89,47,86,-9,27,84,184,0,5,74
144,115,97,60,-6,13,72,212,0,5,64
145,171,20,34,-11,11,30,197,76,3,43
146,141,30,71,-12,10,48,203,44,3,44
147,173,55,34,-8,12,36,280,33,4,54
148,131,72,49,-6,31,87,146,39,5,75
149,124,55,50,-7,9,63,196,68,3,62
150,96,38,54,-7,8,39,204,52,3,49
151,101,78,44,-5,29,19,602,1,4,38
152,124,46,56,-7,10,19,245,72,3,38
153,121,41,83,-14,5,88,324,46,13,44
154,126,17,33,-14,32,19,259,86,4,44
155,127,56,61,-6,4,24,297,18,3,64
156,97,55,62,-8,30,31,270,19,2,66
157,99,48,59,-10,9,15,353,64,2,39
158,138,93,55,-4,9,81,189,4,4,59
159,136,93,66,-6,70,46,212,46,16,58
160,92,57,62,-8,11,34,243,10,3,52
161,129,39,59,-14,7,15,423,13,6,46
162,129,72,61,-8,36,80,218,29,3,64
163,130,32,53,-17,97,46,281,53,8,41
164,128,91,60,-4,12,41,305,0,8,76
165,79,27,19,-9,13,10,263,86,4,74
166,98,69,67,-7,10,83,213,6,3,41
167,123,69,69,-5,9,49,212,39,3,73
168,104,29,66,-11,11,30,233,87,3,80
169,112,8,53,-16,11,31,135,92,5,50
170,100,19,48,-15,11,6,141,99,5,56
171,110,33,63,-9,11,47,193,74,3,56
172,100,63,61,-5,10,33,241,43,3,64
173,173,30,32,-13,70,44,264,77,3,75
174,80,72,51,-6,6,47,262,27,6,78
175,190,76,79,-7,10,49,346,3,24,46
176,164,76,50,-8,14,58,248,0,3,40
177,92,57,26,-8,11,15,319,4,3,47
178,91,59,56,-10,23,48,284,28,3,50
179,114,83,42,-5,16,61,501,1,4,49
180,98,62,66,-9,7,66,256,51,3,35
181,109,78,70,-8,6,39,289,9,5,70
182,133,20,34,-14,34,7,287,13,3,56
183,115,72,53,-6,11,59,324,0,3,44
184,92,95,66,-5,14,52,229,13,11,69
185,138,56,74,-10,8,98,170,11,4,49
186,159,99,24,-4,83,37,187,1,10,58
187,138,55,59,-8,29,50,171,0,3,26
188,136,97,41,-4,11,35,218,0,5,53
189,120,69,79,-4,14,22,243,8,3,59
190,131,71,78,-9,6,61,414,46,19,39
191,115,70,73,-8,6,41,252,0,3,52
192,105,66,95,-4,5,76,284,3,6,80
193,159,64,52,-5,17,32,272,39,2,52
194,170,61,45,-7,9,48,209,2,3,36
195,112,59,30,-10,63,40,364,57,5,59
196,92,38,57,-10,13,53,208,85,3,39
197,122,87,55,-4,21,32,240,0,3,73
198,147,93,51,-3,9,31,297,13,7,68
199,105,44,29,-7,10,45,246,91,3,59
200,130,41,61,-9,23,23,223,54,3,63
201,138,85,60,-6,6,9,235,1,6,58
202,115,61,67,-11,11,67,181,41,3,51
203,120,92,67,-4,9,78,212,5,4,73
204,166,57,32,-5,11,38,212,38,3,59
205,133,81,86,-8,12,85,161,31,4,49
206,125,92,52,-7,2,73,234,2,5,34
207,170,66,46,-9,33,53,274,3,6,72
208,127,66,66,-10,8,84,225,12,10,52
209,162,33,56,-11,11,30,236,90,3,67
210,170,54,51,-7,9,28,241,31,4,54
211,117,75,61,-9,39,97,394,1,3,49
212,105,81,55,-5,10,15,286,2,3,77
213,91,94,62,-3,17,88,269,2,5,80
214,180,66,50,-9,21,89,240,33,4,80
215,116,62,49,-7,13,8,269,2,3,51
216,129,59,93,-12,11,96,219,43,5,41
217,135,75,51,-7,14,28,236,0,3,47
218,123,63,65,-7,28,71,172,78,3,47
219,80,77,78,-4,52,51,404,4,24,75
220,76,57,46,-4,11,10,239,58,3,71
221,124,33,76,-10,24,24,246,73,3,75
