genre_id,genre_name
0,adult standards
1,rock
2,hip hop
3,metal
4,pop
5,dutch
6,permanent wave
7,dance
8,soul
9,disco
10,big room
11,neo mellow
12,boy band
13,carnaval limburg
14,country
15,latin
16,folk
17,celtic
18,chanson
19,electro
20,downtempo
21,reggae
22,british invasion
23,jazz
24,trance
25,singer-songwriter
26,mellow gold
27,blues
28,big beat
29,funk
30,happy hardcore
31,classic schlager
32,gabba
33,edm
34,electronica
35,indie
36,stomp and holler
37,australian psych
38,laboratorio
39,classic soundtrack
40,compositional ambient
41,streektaal
42,ccm
43,house
44,australian americana
45,j-core
46,punk
47,basshall
48,christelijk
49,levenslied
50,rap
51,motown
52,bebop
